feature,mean_abs_shap,rank
combined_scoreless_pct,0.25464478,1
park_yrfi_pct,0.10552456,2
away_p_scoreless_pct,0.089097306,3
away_team_yrfi_pct,0.06715966,4
combined_fi_era,0.053649534,5
home_team_yrfi_pct,0.03344799,6
home_p_scoreless_pct,0.024679504,7
away_p_fi_era,0.012010119,8
pitcher_era_gap,0.008773608,9
home_p_era_delta,0.008377805,10
away_p_k9,0.0071986094,11
home_p_fi_era,0.0071808295,12
era_delta_x_park,0.0063724783,13
home_p_bb9,0.0061220624,14
home_p_k9,0.0059024617,15
away_p_bb9,0.0037904528,16
away_p_era_delta,0.00323055,17
is_dome,0.0011026035,18
vegas_over_under,0.0006530167,19
